id,ime,rank,žanr,rating,število rating-ov,leto izdaje,najmanjša starost,zahtevnost /5,najmanj igralcev,največ igralcev,najkrajši čas,najdaljši čas,najnižja cena ($)
100423,Elder Sign,798,Thematic,7.0,26000,2011,13,2.34,1,4,90,90,9.99
100901,Flash Point: Fire Rescue,543,Thematic,7.1,25000,2011,10,2.2,1,6,45,45,13.0
10093,Axis & Allies,2058,War,6.7,6200,2004,12,3.22,2,5,240,240,2.97
101721,Mage Wars Arena,504,Customizable,7.6,8000,2012,13,3.68,2,,90,90,0.99
102104,Star Fluxx,3336,Party,6.3,6000,2011,8,1.42,2,6,10,40,5.99
102548,Dungeon Fighter,1535,Party,6.8,7200,2011,14,1.76,2,6,45,60,9.78
102652,Sentinels of the Multiverse,693,Thematic,7.1,16000,2011,8,2.52,1,5,30,60,11.95
102680,Trajan,149,Strategy,7.7,19000,2011,12,3.63,2,4,60,120,42.38
102794,Caverna: The Cave Farmers,62,Strategy,7.9,37000,2013,12,3.78,1,5,30,210,91.32
103343,A Game of Thrones: The Board Game (Second Edition),239,Strategy,7.5,37000,2011,14,3.73,4,6,120,240,7.61
103885,Star Wars: X-Wing Miniatures Game,206,War,7.6,26000,2012,14,2.5,2,,30,45,17.0
103886,Star Wars: The Card Game,1055,Customizable,7.2,5900,2012,10,2.98,2,2,30,60,8.0
104006,Village,249,Strategy,7.5,25000,2011,12,3.06,2,4,60,90,27.94
104162,Descent: Journeys in the Dark (Second Edition),231,Thematic,7.6,26000,2012,14,3.22,2,5,120,120,11.95
1041,San Marco,1100,Strategy,7.2,4700,2001,10,2.67,3,4,75,75,17.01
104347,Santiago de Cuba,1583,Strategy,6.9,4700,2011,10,2.15,2,4,40,75,4.72
104363,Rex: Final Days of an Empire,1379,Thematic,7.0,4600,2012,14,3.3,4,6,120,180,64.99
104710,Wiz-War (Eighth Edition),1266,Thematic,7.1,5200,2012,14,2.32,2,4,30,60,35.0
105134,Risk Legacy,634,Strategy,7.3,8900,2011,13,2.59,4,5,60,60,2.99
10547,Betrayal at House on the Hill,779,Thematic,7.0,50000,2004,12,2.4,3,6,60,60,2.39
105551,Archipelago,706,Strategy,7.3,8600,2012,14,3.74,2,5,30,240,
105593,Cheating Moth,2680,Party,6.4,6600,2011,7,1.16,3,,30,30,5.71
105,Colossal Arena,1482,Strategy,6.8,7400,1997,8,2.02,2,5,40,60,17.02
106217,Hawaii,1201,Strategy,7.1,4700,2011,13,2.9,2,5,60,60,45.51
10630,Memoir '44,223,War,7.5,32000,2004,8,2.27,2,2,30,45,2.99
10640,Doom: The Boardgame,1731,Thematic,6.8,5300,2004,12,2.91,2,4,60,90,16.95
107529,Kingdom Builder,788,Strategy,6.9,25000,2011,8,2.07,2,4,45,45,0.99
108687,Puerto Rico,,,8.3,6100,2011,13,3.22,2,5,90,150,34.13
108745,Seasons,355,Strategy,7.3,27000,2012,14,2.78,2,3,60,60,9.99
109276,Kanban: Driver's Edition,316,Strategy,7.8,7100,2014,12,4.35,2,4,90,120,28.0
10,Elfenland,1539,Family,6.7,9400,1998,10,2.15,3,6,60,60,5.69
110277,Among the Stars,1044,Strategy,7.0,7400,2012,12,2.24,2,4,30,30,4.99
110327,Lords of Waterdeep,106,Strategy,7.7,59000,2012,12,2.45,2,5,60,120,35.69
1111,Taboo,2472,Party,6.3,14000,1989,12,1.2,4,10,20,20,1.79
111341,The Great Zimbabwe,361,Strategy,7.8,5500,2012,14,3.69,2,5,90,150,249.99
1115,Poker,1412,Strategy,6.7,12000,1810,12,2.43,3,9,60,60,7.15
11170,Heroscape Master Set: Rise of the Valkyrie,574,Customizable,7.5,8400,2004,8,2.3,2,4,90,90,4.0
1117,You're Bluffing!,2303,Family,6.6,4700,1985,10,1.63,3,5,45,45,4.45
112686,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,2670,Thematic,6.4,7100,2012,15,1.57,3,5,30,30,8.5
112,Condottiere,1064,Strategy,6.9,11000,1995,10,1.95,3,6,20,45,89.99
113294,Escape: The Curse of the Temple,836,Family,7.0,18000,2012,8,1.48,1,5,10,10,7.95
113401,Timeline: Events,1722,Party,6.8,5300,2011,8,1.09,2,8,15,15,36.42
113924,Zombicide,766,Thematic,7.1,20000,2012,14,2.53,1,6,60,60,3.43
113997,Tajemnicze Domostwo,1139,Thematic,7.1,5600,2013,8,1.83,3,7,30,60,10.98
115746,War of the Ring: Second Edition,8,War,8.6,25000,2011,13,4.23,2,2,150,240,75.0
1159,Evo,1665,Strategy,6.8,4500,2001,12,2.34,3,5,60,120,84.99
116998,Thunderstone Advance: Towers of Ruin,967,Strategy,7.3,4800,2012,12,2.75,1,4,45,45,24.99
116,Guillotine,1628,Family,6.5,22000,1998,12,1.27,2,5,30,30,14.99
117959,Las Vegas,630,Family,7.2,12000,2012,8,1.17,3,5,30,30,22.11
118048,Targi,176,Strategy,7.6,27000,2012,12,2.34,2,2,60,60,9.1
118247,Lucky Numbers,2824,Abstract,6.4,4600,2012,8,1.13,2,4,20,20,17.12
118,Modern Art,221,Strategy,7.5,26000,1992,10,2.28,3,5,45,45,29.39
11901,Tic-Tac-Toe,30931,Children's,2.8,4400,-1300,4,1.27,2,2,1,1,4.99
119432,Snowdonia,866,Strategy,7.3,5200,2012,10,2.99,1,5,30,90,25.0
119506,Freedom: The Underground Railroad,681,Thematic,7.6,4700,2013,13,2.91,1,4,60,120,20.43
11971,Cockroach Poker,1097,Party,6.8,17000,2004,8,1.1,3,6,20,20,5.69
119788,Hyperborea,1086,Strategy,7.2,5100,2014,14,3.16,2,5,50,150,49.95
119890,Agricola: All Creatures Big and Small,462,Strategy,7.3,14000,2012,13,2.35,2,2,30,30,24.99
1198,SET,1890,Abstract,6.5,14000,1988,6,1.65,1,8,30,30,1.2
119,Cosmolancer,1780,Abstract,6.7,5500,1994,9,1.85,2,4,45,45,11.04
11,Bohnanza,545,Family,7.1,52000,1997,12,1.67,3,7,45,45,5.68
12002,Jambo,1020,Strategy,7.0,8500,2004,12,2.08,2,2,45,45,10.0
120677,Terra Mystica,36,Strategy,8.0,51000,2012,12,3.97,2,5,60,150,4.99
120,Hoity Toity,2267,Family,6.5,5600,1990,12,1.86,4,,45,45,10.0
121288,Dixit: Journey,901,Party,7.4,4700,2012,8,1.26,4,,30,30,18.95
121297,Fleet,1579,Strategy,6.8,5500,2012,10,2.24,2,4,30,45,9.0
121408,Trains,828,Strategy,7.1,8700,2012,12,2.38,2,4,45,45,11.42
121410,Steam Park,1516,Family,6.8,6100,2013,10,2.12,2,4,60,60,9.99
121921,Robinson Crusoe: Adventures on the Cursed Island,120,Thematic,7.7,47000,2012,14,3.83,1,4,60,120,2.99
1219,Labyrinth,2114,Family,6.4,16000,1986,8,1.34,2,4,20,20,1.0
121,Dune,583,Thematic,7.6,6000,1979,12,3.45,4,6,60,180,44.99
122298,Morels,1017,Family,7.0,10000,2012,10,1.74,2,2,30,30,12.0
122515,Keyflower,135,Strategy,7.7,25000,2012,12,3.33,2,6,90,120,40.0
122522,Smash Up,1320,Strategy,6.7,28000,2012,12,2.06,2,4,45,45,4.99
123260,Suburbia,251,Strategy,7.5,27000,2012,8,2.76,1,4,60,90,12.0
12333,Twilight Struggle,15,War,8.2,52000,2005,13,3.61,2,2,120,180,27.95
1234,Once Upon a Time: The Storytelling Card Game,2552,Thematic,6.4,9300,1993,8,1.37,3,6,30,30,5.5
123540,Tokaido,854,Family,6.9,29000,2012,8,1.74,2,5,45,45,7.43
123570,Strike,1284,Party,7.0,5500,2012,8,1.02,2,5,15,15,9.99
124172,Tsuro of the Seas,2213,Family,6.5,7000,2012,8,1.41,2,8,20,40,10.79
124361,Concordia,29,Strategy,8.1,46000,2013,13,2.99,2,5,100,100,16.9
124708,Mice and Mystics,568,Thematic,7.2,21000,2012,7,2.74,1,4,60,90,33.96
124742,Android: Netrunner,84,Customizable,7.9,31000,2012,14,3.42,2,2,45,45,25.99
12493,Twilight Imperium: Third Edition,152,Thematic,7.8,20000,2005,14,4.26,4,6,180,240,9.97
124,Primordial Soup,1490,Strategy,6.9,4800,1997,12,2.74,3,4,90,90,20.0
125153,The Gallerist,85,Strategy,8.0,17000,2015,13,4.21,1,4,60,150,65.0
125618,Libertalia,670,Strategy,7.1,15000,2012,14,2.23,3,6,40,60,29.0
125678,DC Deck-Building Game,1112,Thematic,7.1,8000,2012,15,1.99,2,4,45,45,24.88
1258,Phase 10,30871,Family,5.3,12000,1982,8,1.25,2,6,45,45,4.36
126042,Nations,273,Strategy,7.6,13000,2013,14,3.54,1,5,40,200,35.0
126163,Tzolk'in: The Mayan Calendar,77,Strategy,7.8,43000,2012,13,3.66,2,4,90,90,20.71
126792,Myrmes,884,Strategy,7.3,5800,2012,13,3.45,2,4,60,120,35.0
12692,Gloom,2492,Thematic,6.3,17000,2005,13,1.63,2,4,60,60,6.99
1269,Skip-Bo,13962,Family,5.7,10000,1967,8,1.19,2,6,20,20,2.99
127023,Kemet,203,Strategy,7.6,20000,2012,13,3.0,3,5,90,120,7.95
127024,Room 25,1714,Thematic,6.7,7300,2013,13,1.93,3,6,30,30,43.37
127060,Bora Bora,331,Strategy,7.6,11000,2013,12,3.73,2,4,60,120,80.0
127398,Legends of Andor,683,Thematic,7.1,21000,2012,10,2.77,1,4,60,90,2.95
128271,Ginkgopolis,437,Strategy,7.5,9000,2012,13,2.9,1,4,45,45,38.95
128621,Viticulture,321,Strategy,7.5,16000,2013,13,2.95,2,5,90,90,34.87
128671,Spartacus: A Game of Blood and Treachery,509,Thematic,7.5,9600,2012,17,2.73,3,,120,180,9.95
128882,The Resistance: Avalon,238,Party,7.5,37000,2012,13,1.74,5,10,30,30,7.47
128996,1775: Rebellion,663,War,7.6,4500,2013,10,2.32,2,4,60,120,75.99
12902,Carcassonne: The City,1091,Strategy,7.2,4600,2004,8,2.26,2,4,30,45,53.7
1293,Boggle,2985,Family,6.3,9000,1972,8,1.46,2,7,10,10,1.99
12942,No Thanks!,557,Family,7.1,31000,2004,8,1.13,3,7,20,20,16.08
129437,Legendary: A Marvel Deck Building Game,283,Thematic,7.5,23000,2012,14,2.43,1,4,30,60,11.0
1294,Clue,11114,Family,5.7,23000,1949,8,1.64,3,6,45,45,0.99
129622,Love Letter,370,Family,7.2,72000,2012,10,1.18,3,4,20,20,9.89
12962,Reef Encounter,1073,Strategy,7.1,5300,2004,10,3.68,2,4,60,120,
129736,Cockroach Poker Royal,1337,Party,7.0,4900,2012,8,1.14,3,6,15,25,9.7
129948,The Palaces of Carrara,1127,Strategy,7.1,5000,2012,10,2.59,2,4,60,60,17.01
12995,Dungeon Twister,1587,Strategy,6.8,6100,2004,11,2.88,2,2,60,60,89.99
12,Ra,114,Strategy,7.7,33000,1999,12,2.3,3,5,45,60,10.99
13004,The Downfall of Pompeii,771,Family,7.2,8800,2004,10,1.85,2,4,45,45,155.42
130176,Tales & Games: The Hare & the Tortoise,1342,Family,7.1,4400,2011,7,1.37,2,5,15,20,31.99
13122,Antiquity,446,Strategy,7.8,4700,2004,14,4.32,2,4,120,180,186.87
131260,Qwixx,994,Family,6.9,16000,2012,8,1.11,2,5,15,15,4.97
131325,Timeline: General Interest,1873,Party,6.8,4500,2012,8,1.07,2,8,15,15,17.0
131357,Coup,719,Party,7.0,53000,2012,13,1.41,3,6,15,15,1.99
131366,Eight-Minute Empire,1845,Strategy,6.5,9000,2012,13,1.63,2,5,8,20,18.0
131835,Boss Monster: The Dungeon Building Card Game,2778,Family,6.3,18000,2013,13,1.85,2,4,30,30,6.99
132531,Roll for the Galaxy,175,Strategy,7.6,34000,2014,13,2.78,2,5,45,45,39.95
132,Caesar & Cleopatra,2735,Strategy,6.4,4800,1997,10,1.91,2,2,60,60,5.59
133038,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,721,Thematic,7.2,13000,2013,13,2.72,1,,90,90,25.0
13308,Niagara,2142,Family,6.5,9100,2004,8,1.83,3,5,30,45,1.14
133473,Sushi Go!,665,Family,7.0,53000,2013,8,1.16,3,5,15,15,2.79
133848,Euphoria: Build a Better Dystopia,698,Strategy,7.2,11000,2013,13,3.11,2,6,60,60,15.26
1339,Dungeon!,5392,Thematic,6.0,4500,1975,8,1.55,2,6,30,60,1.0
134253,Hostage Negotiator,1616,Thematic,6.8,6300,2015,15,2.06,1,1,15,30,9.99
134352,Two Rooms and a Boom,1221,Party,7.0,6300,2013,8,1.48,8,,7,20,16.2
1345,Genoa,1130,Strategy,7.0,6300,2001,12,3.08,3,5,60,120,20.0
134726,Smash Up: Awesome Level 9000,910,Strategy,7.2,7200,2013,12,2.12,2,,45,45,34.99
1353,Time's Up!,792,Party,7.3,6300,1999,12,1.2,,,90,90,5.0
135779,A Fake Artist Goes to New York,765,Party,7.1,11000,2011,8,1.1,5,10,20,20,14.99
136063,Forbidden Desert,608,Family,7.1,33000,2013,10,2.04,1,5,45,45,6.76
13642,Louis XIV,1184,Strategy,7.0,5600,2005,12,3.01,2,4,75,100,11.9
136888,Bruges,391,Strategy,7.4,12000,2013,13,2.76,2,4,60,60,79.66
136991,Loony Quest,1346,Family,6.9,6800,2015,8,1.19,2,5,20,30,28.54
137269,Spyrium,1058,Strategy,7.0,6500,2013,12,2.91,2,5,75,75,9.99
137297,Rise of Augustus,1442,Family,6.7,8600,2013,8,1.65,2,6,30,30,11.38
137408,Amerigo,613,Strategy,7.4,6500,2013,10,2.97,2,4,90,90,57.09
137988,Zombicide Season 2: Prison Outbreak,1033,Thematic,7.3,4900,2013,13,2.67,1,6,60,60,45.0
138161,Firefly: The Game,522,Thematic,7.4,13000,2013,13,2.95,1,4,120,240,18.99
13823,Fairy Tale,1491,Strategy,6.7,9100,2004,10,1.77,2,5,30,30,20.0
1382,Winner's Circle,1220,Family,7.0,6000,2001,10,1.61,3,6,45,60,65.0
